timestamp,run_id,task,condition,provider,model,reasoning_effort,condition_type,sample_seed,pool_samples,skill_pools,skills_given,skill_imports_enforced,import_policy,skill_import_violations,api_status,script_status,verifier_success,issues,notes,elapsed_seconds,run_dir,artifacts_dir,agent_workspace
2026-06-28T19:26:33,gpt55xhigh_parallel_20260628_1926,pubtables,multi_pool_sample_s04,openai-responses,gpt-5.5,xhigh,multi_pool_sample,4,"{""table_reconstruction"": ""bbox-row-column-parser"", ""metric_extraction_audit"": ""data-analysis"", ""summary_reporting"": ""grounded-metric-summary""}","{""table_reconstruction"": [""bbox-row-column-parser""], ""metric_extraction_audit"": [""data-analysis""], ""summary_reporting"": [""grounded-metric-summary""]}",bbox-row-column-parser|data-analysis|grounded-metric-summary,False,warn,,ok,exit_0,False,table_cells.csv missing required cell text: Evaluation score (%),extracted from Python code block,102.89,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s04\agent_runs\gpt55xhigh_parallel_20260628_1926,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s04\agent_runs\gpt55xhigh_parallel_20260628_1926\artifacts,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s04\agent_runs\gpt55xhigh_parallel_20260628_1926\agent_workspace
2026-06-28T19:26:33,gpt55xhigh_parallel_20260628_1926,pubtables,multi_pool_sample_s09,openai-responses,gpt-5.5,xhigh,multi_pool_sample,9,"{""table_reconstruction"": ""header-span-detector"", ""metric_extraction_audit"": ""sql-master"", ""summary_reporting"": ""typora-visual-architect""}","{""table_reconstruction"": [""header-span-detector""], ""metric_extraction_audit"": [""sql-master""], ""summary_reporting"": [""typora-visual-architect""]}",header-span-detector|sql-master|typora-visual-architect,False,warn,,ok,exit_0,False,table_cells.csv missing required cell text: Evaluation score (%),extracted from Python code block,110.87,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s09\agent_runs\gpt55xhigh_parallel_20260628_1926,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s09\agent_runs\gpt55xhigh_parallel_20260628_1926\artifacts,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s09\agent_runs\gpt55xhigh_parallel_20260628_1926\agent_workspace
2026-06-28T19:26:33,gpt55xhigh_parallel_20260628_1926,pubtables,multi_pool_sample_s07,openai-responses,gpt-5.5,xhigh,multi_pool_sample,7,"{""table_reconstruction"": ""table-boundary-noise-filter"", ""metric_extraction_audit"": ""artifact-contract-checker"", ""summary_reporting"": ""generate-report123""}","{""table_reconstruction"": [""table-boundary-noise-filter""], ""metric_extraction_audit"": [""artifact-contract-checker""], ""summary_reporting"": [""generate-report123""]}",table-boundary-noise-filter|artifact-contract-checker|generate-report123,False,warn,,ok,exit_0,False,"metrics.csv mismatch for dataset: expected 'ChemTable', got 'PubMed QA'. | metrics.csv mismatch for notes: expected 'cross-domain', got 'best'. | metrics.csv mismatch for accuracy: expected 84.7, got 91.2. | metrics.csv mismatch for f1: expected 81.3, got 88.6. | metrics.csv mismatch for method: expected 'Rule Parser', got 'TreeCRF'. | metrics.csv mismatch for dataset: expected 'ChemTable', got 'PubMed QA'. | metrics.csv mismatch for notes: expected 'weak baseline', got 'baseline'. | metrics.csv mismatch for accuracy: expected 71.0, got 89.5. | metrics.csv mismatch for f1: expected 68.4, got 86.9. | metrics.csv mismatch for method: expected 'TableFormer', got 'TreeCRF'. | metrics.csv mismatch for dataset: expected 'ChemTable', got 'PubMed QA'. | metrics.csv mismatch for notes: expected 'best', got 'cross-domain'. | metrics.csv mismatch for accuracy: expected 87.8, got 84.7. | metrics.csv mismatch for f1: expected 84.2, got 84.7. | metrics.csv mismatch for method: expected 'GraphNet', got 'TreeCRF'. | metrics.csv mismatch for dataset: expected 'PubMed QA', got 'Rule Parser ChemTable'. | metrics.csv mismatch for notes: expected 'best', got 'weak baseline'. | metrics.csv mismatch for accuracy: expected 91.2, got 71.0. | metrics.csv mismatch for f1: expected 88.6, got 68.4. | metrics.csv mismatch for dataset: expected 'PubMed QA', got 'TableFormer ChemTable'. | metrics.csv mismatch for notes: expected 'baseline', got 'best'. | metrics.csv mismatch for accuracy: expected 89.5, got 87.8. | metrics.csv mismatch for f1: expected 86.9, got 84.2. | table_cells.csv missing required cell text: ChemTable, Rule Parser, TableFormer | audit.json best_by_dataset mismatch for ChemTable.",extracted from Python code block,121.24,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s07\agent_runs\gpt55xhigh_parallel_20260628_1926,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s07\agent_runs\gpt55xhigh_parallel_20260628_1926\artifacts,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s07\agent_runs\gpt55xhigh_parallel_20260628_1926\agent_workspace
2026-06-28T19:26:33,gpt55xhigh_parallel_20260628_1926,pubtables,multi_pool_sample_s08,openai-responses,gpt-5.5,xhigh,multi_pool_sample,8,"{""table_reconstruction"": ""bbox-row-column-parser"", ""metric_extraction_audit"": ""data-analysis"", ""summary_reporting"": ""generate-report123""}","{""table_reconstruction"": [""bbox-row-column-parser""], ""metric_extraction_audit"": [""data-analysis""], ""summary_reporting"": [""generate-report123""]}",bbox-row-column-parser|data-analysis|generate-report123,False,warn,,ok,exit_0,False,"metrics.csv mismatch for method: expected 'GraphNet', got 'GraphNet ChemTable'. | metrics.csv mismatch for dataset: expected 'ChemTable', got 'GraphNet ChemTable'. | metrics.csv mismatch for method: expected 'Rule Parser', got 'GraphNet PubMed QA'. | metrics.csv mismatch for dataset: expected 'ChemTable', got 'GraphNet PubMed QA'. | metrics.csv mismatch for notes: expected 'weak baseline', got 'best'. | metrics.csv mismatch for accuracy: expected 71.0, got 91.2. | metrics.csv mismatch for f1: expected 68.4, got 88.6. | metrics.csv mismatch for method: expected 'TableFormer', got 'Rule Parser ChemTable'. | metrics.csv mismatch for dataset: expected 'ChemTable', got 'Rule Parser ChemTable'. | metrics.csv mismatch for notes: expected 'best', got 'weak baseline'. | metrics.csv mismatch for accuracy: expected 87.8, got 71.0. | metrics.csv mismatch for f1: expected 84.2, got 68.4. | metrics.csv mismatch for method: expected 'GraphNet', got 'TableFormer ChemTable'. | metrics.csv mismatch for dataset: expected 'PubMed QA', got 'TableFormer ChemTable'. | metrics.csv mismatch for accuracy: expected 91.2, got 87.8. | metrics.csv mismatch for f1: expected 88.6, got 84.2. | metrics.csv mismatch for method: expected 'TreeCRF', got 'TreeCRF PubMed QA'. | metrics.csv mismatch for dataset: expected 'PubMed QA', got 'TreeCRF PubMed QA'. | table_cells.csv missing required cell text: ChemTable, Dataset, Evaluation score (%), GraphNet, Method, PubMed QA, Rule Parser, TableFormer | audit.json best_by_dataset mismatch for PubMed QA. | audit.json best_by_dataset mismatch for ChemTable.",extracted from Python code block,132.74,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s08\agent_runs\gpt55xhigh_parallel_20260628_1926,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s08\agent_runs\gpt55xhigh_parallel_20260628_1926\artifacts,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s08\agent_runs\gpt55xhigh_parallel_20260628_1926\agent_workspace
2026-06-28T19:26:33,gpt55xhigh_parallel_20260628_1926,pubtables,multi_pool_all,openai-responses,gpt-5.5,xhigh,multi_pool_all,,{},"{""table_reconstruction"": [""table-ocr-structure-reconstructor"", ""bbox-row-column-parser"", ""table-boundary-noise-filter"", ""header-span-detector"", ""code-executor""], ""metric_extraction_audit"": [""metric-consistency-auditor"", ""artifact-contract-checker"", ""data-analysis"", ""chat2duckdb"", ""sql-master""], ""summary_reporting"": [""grounded-metric-summary"", ""extraction-audit-summary"", ""typora-visual-architect"", ""generate-report123"", ""data2visualization""]}",table-ocr-structure-reconstructor|bbox-row-column-parser|table-boundary-noise-filter|header-span-detector|code-executor|metric-consistency-auditor|artifact-contract-checker|data-analysis|chat2duckdb|sql-master|grounded-metric-summary|extraction-audit-summary|typora-visual-architect|generate-report123|data2visualization,False,warn,,ok,exit_0,False,"metrics.csv mismatch for method: expected 'GraphNet', got 'GraphNet ChemTable 84.7 81.3 cross-domain'. | metrics.csv mismatch for dataset: expected 'ChemTable', got 'GraphNet ChemTable 84.7 81.3 cross-domain'. | metrics.csv mismatch for notes: expected 'cross-domain', got 'GraphNet ChemTable 84.7 81.3 cross-domain'. | metrics.csv mismatch for accuracy: expected 84.7, got None. | metrics.csv mismatch for f1: expected 81.3, got None. | metrics.csv mismatch for method: expected 'Rule Parser', got 'GraphNet PubMed QA 91.2 88.6 best'. | metrics.csv mismatch for dataset: expected 'ChemTable', got 'GraphNet PubMed QA 91.2 88.6 best'. | metrics.csv mismatch for notes: expected 'weak baseline', got 'GraphNet PubMed QA 91.2 88.6 best'. | metrics.csv mismatch for accuracy: expected 71.0, got None. | metrics.csv mismatch for f1: expected 68.4, got None. | metrics.csv mismatch for method: expected 'TableFormer', got 'Rule Parser ChemTable 71.0 68.4 weak baseline'. | metrics.csv mismatch for dataset: expected 'ChemTable', got 'Rule Parser ChemTable 71.0 68.4 weak baseline'. | metrics.csv mismatch for notes: expected 'best', got 'Rule Parser ChemTable 71.0 68.4 weak baseline'. | metrics.csv mismatch for accuracy: expected 87.8, got None. | metrics.csv mismatch for f1: expected 84.2, got None. | metrics.csv mismatch for method: expected 'GraphNet', got 'TableFormer ChemTable 87.8 84.2 best'. | metrics.csv mismatch for dataset: expected 'PubMed QA', got 'TableFormer ChemTable 87.8 84.2 best'. | metrics.csv mismatch for notes: expected 'best', got 'TableFormer ChemTable 87.8 84.2 best'. | metrics.csv mismatch for accuracy: expected 91.2, got None. | metrics.csv mismatch for f1: expected 88.6, got None. | metrics.csv mismatch for method: expected 'TreeCRF', got 'TreeCRF PubMed QA 89.5 86.9 baseline'. | metrics.csv mismatch for dataset: expected 'PubMed QA', got 'TreeCRF PubMed QA 89.5 86.9 baseline'. | metrics.csv mismatch for notes: expected 'baseline', got 'TreeCRF PubMed QA 89.5 86.9 baseline'. | metrics.csv mismatch for accuracy: expected 89.5, got None. | metrics.csv mismatch for f1: expected 86.9, got None. | table_cells.csv missing required cell text: Accuracy, ChemTable, Dataset, Evaluation score (%), F1, GraphNet, Method, Notes, PubMed QA, Rule Parser, TableFormer, weak baseline | audit.json best_by_dataset mismatch for PubMed QA. | audit.json best_by_dataset mismatch for ChemTable.",extracted from Python code block,133.84,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_all\agent_runs\gpt55xhigh_parallel_20260628_1926,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_all\agent_runs\gpt55xhigh_parallel_20260628_1926\artifacts,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_all\agent_runs\gpt55xhigh_parallel_20260628_1926\agent_workspace
2026-06-28T19:26:33,gpt55xhigh_parallel_20260628_1926,pubtables,multi_pool_sample_s03,openai-responses,gpt-5.5,xhigh,multi_pool_sample,3,"{""table_reconstruction"": ""bbox-row-column-parser"", ""metric_extraction_audit"": ""sql-master"", ""summary_reporting"": ""data2visualization""}","{""table_reconstruction"": [""bbox-row-column-parser""], ""metric_extraction_audit"": [""sql-master""], ""summary_reporting"": [""data2visualization""]}",bbox-row-column-parser|sql-master|data2visualization,False,warn,,ok,exit_0,False,"metrics.csv row count mismatch: expected 5, got 6. | table_cells.csv missing required cell text: Evaluation score (%) | audit.json row_count mismatch: expected 5, got 6.",extracted from Python code block,150.62,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s03\agent_runs\gpt55xhigh_parallel_20260628_1926,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s03\agent_runs\gpt55xhigh_parallel_20260628_1926\artifacts,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s03\agent_runs\gpt55xhigh_parallel_20260628_1926\agent_workspace
2026-06-28T19:28:16,gpt55xhigh_parallel_20260628_1926,pubtables,multi_pool_sample_s10,openai-responses,gpt-5.5,xhigh,multi_pool_sample,10,"{""table_reconstruction"": ""code-executor"", ""metric_extraction_audit"": ""metric-consistency-auditor"", ""summary_reporting"": ""generate-report123""}","{""table_reconstruction"": [""code-executor""], ""metric_extraction_audit"": [""metric-consistency-auditor""], ""summary_reporting"": [""generate-report123""]}",code-executor|metric-consistency-auditor|generate-report123,False,warn,,ok,exit_0,False,table_cells.csv missing required cell text: Evaluation score (%),extracted from Python code block,105.72,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s10\agent_runs\gpt55xhigh_parallel_20260628_1926,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s10\agent_runs\gpt55xhigh_parallel_20260628_1926\artifacts,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s10\agent_runs\gpt55xhigh_parallel_20260628_1926\agent_workspace
2026-06-28T19:28:24,gpt55xhigh_parallel_20260628_1926,pubtables,no_skill,openai-responses,gpt-5.5,xhigh,baseline,,{},{},none,False,warn,,ok,exit_0,False,"metrics.csv row count mismatch: expected 5, got 6. | table_cells.csv missing required cell text: Accuracy, ChemTable, Dataset, Evaluation score (%), F1, GraphNet, Method, Notes, PubMed QA, Rule Parser, TableFormer, weak baseline | audit.json row_count mismatch: expected 5, got 6. | audit.json best_by_dataset mismatch for PubMed QA. | audit.json best_by_dataset mismatch for ChemTable.",extracted from Python code block,112.01,E:\research\pilot_experiments\tasks\pubtables\runs\no_skill\agent_runs\gpt55xhigh_parallel_20260628_1926,E:\research\pilot_experiments\tasks\pubtables\runs\no_skill\agent_runs\gpt55xhigh_parallel_20260628_1926\artifacts,E:\research\pilot_experiments\tasks\pubtables\runs\no_skill\agent_runs\gpt55xhigh_parallel_20260628_1926\agent_workspace
2026-06-28T19:26:33,gpt55xhigh_parallel_20260628_1926,pubtables,multi_pool_sample_s06,openai-responses,gpt-5.5,xhigh,multi_pool_sample,6,"{""table_reconstruction"": ""code-executor"", ""metric_extraction_audit"": ""metric-consistency-auditor"", ""summary_reporting"": ""generate-report123""}","{""table_reconstruction"": [""code-executor""], ""metric_extraction_audit"": [""metric-consistency-auditor""], ""summary_reporting"": [""generate-report123""]}",code-executor|metric-consistency-auditor|generate-report123,False,warn,,ok,exit_0,False,"metrics.csv row count mismatch: expected 5, got 0. | table_cells.csv missing required cell text: Accuracy, ChemTable, Dataset, Evaluation score (%), F1, GraphNet, Method, Notes, PubMed QA, Rule Parser, TableFormer, weak baseline | audit.json row_count mismatch: expected 5, got 0. | audit.json best_by_dataset mismatch for PubMed QA. | audit.json best_by_dataset mismatch for ChemTable. | summary.md missing grounded result(s): GraphNet, TableFormer, PubMed QA, ChemTable, 88.6, 84.2",extracted from Python code block,262.00,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s06\agent_runs\gpt55xhigh_parallel_20260628_1926,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s06\agent_runs\gpt55xhigh_parallel_20260628_1926\artifacts,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s06\agent_runs\gpt55xhigh_parallel_20260628_1926\agent_workspace
2026-06-28T19:26:33,gpt55xhigh_parallel_20260628_1926,pubtables,multi_pool_sample_s02,openai-responses,gpt-5.5,xhigh,multi_pool_sample,2,"{""table_reconstruction"": ""table-ocr-structure-reconstructor"", ""metric_extraction_audit"": ""metric-consistency-auditor"", ""summary_reporting"": ""grounded-metric-summary""}","{""table_reconstruction"": [""table-ocr-structure-reconstructor""], ""metric_extraction_audit"": [""metric-consistency-auditor""], ""summary_reporting"": [""grounded-metric-summary""]}",table-ocr-structure-reconstructor|metric-consistency-auditor|grounded-metric-summary,False,warn,,ok,exit_1,False,"Traceback (most recent call last):
  File ""E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s02\agent_runs\gpt55xhigh_parallel_20260628_1926\agent_workspace\generated_solution.py"", line 953, in <module>
    main()
    ~~~~^^
  File ""E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s02\agent_runs\gpt55xhigh_parallel_20260628_1926\agent_workspace\generated_solution.py"", line 922, in main
    table_words, _ = filter_table_words(words, table_bbox, issues)
                     ~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s02\agent_runs\gpt55xhigh_parallel_20260628_1926\agent_workspace\generated_solution.py"", line 342, in filter_table_words
    add_issue(
    ~~~~~~~~~^
        issues,
        ^^^^^^^
    ...<4 lines>...
        sample_text=clean_text("" "".join(w[""text""] for w in excluded[:12])),
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    ) | Missing or empty artifact: E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s02\agent_runs\gpt55xhigh_parallel_20260628_1926\artifacts\table_cells.csv | Missing or empty artifact: E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s02\agent_runs\gpt55xhigh_parallel_20260628_1926\artifacts\metrics.csv | Missing or empty artifact: E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s02\agent_runs\gpt55xhigh_parallel_20260628_1926\artifacts\audit.json | Missing or empty artifact: E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s02\agent_runs\gpt55xhigh_parallel_20260628_1926\artifacts\summary.md",extracted from Python code block,432.89,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s02\agent_runs\gpt55xhigh_parallel_20260628_1926,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s02\agent_runs\gpt55xhigh_parallel_20260628_1926\artifacts,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s02\agent_runs\gpt55xhigh_parallel_20260628_1926\agent_workspace
