timestamp,task,condition,model,condition_type,sample_seed,pool_samples,skill_pools,skills_given,skill_imports_enforced,import_policy,skill_import_violations,api_status,script_status,verifier_success,issues,notes,elapsed_seconds
2026-06-27T01:11:45,pubtables,multi_pool_all,glm-4.5-air,multi_pool_all,,{},"{""table_extraction"": [""table-ocr-structure-reconstructor"", ""bbox-row-column-parser"", ""table-boundary-noise-filter"", ""header-span-detector"", ""file-converter""], ""data_cleaning"": [""multi-source-data-cleaner-pro"", ""data-analysis"", ""data-analyst-cn"", ""excel-xlsx"", ""chat2duckdb""], ""validation_audit"": [""metric-consistency-auditor"", ""artifact-contract-checker"", ""code-executor"", ""data-reconciliation-exceptions"", ""sql-master""], ""summary_reporting"": [""grounded-metric-summary"", ""extraction-audit-summary"", ""typora-visual-architect"", ""generate-report123"", ""data2visualization""]}",table-ocr-structure-reconstructor|bbox-row-column-parser|table-boundary-noise-filter|header-span-detector|file-converter|multi-source-data-cleaner-pro|data-analysis|data-analyst-cn|excel-xlsx|chat2duckdb|metric-consistency-auditor|artifact-contract-checker|code-executor|data-reconciliation-exceptions|sql-master|grounded-metric-summary|extraction-audit-summary|typora-visual-architect|generate-report123|data2visualization,False,warn,,ok,exit_0,False,"metrics.csv row count mismatch: expected 5, got 0. | table_cells.csv missing required cell text: Accuracy, Evaluation score (%), F1, Notes, PubMed QA, Rule Parser, weak baseline | audit.json row_count mismatch: expected 5, got 0. | audit.json best_by_dataset mismatch for PubMed QA. | audit.json best_by_dataset mismatch for ChemTable. | summary.md missing grounded result(s): GraphNet, TableFormer, PubMed QA, ChemTable, 88.6, 84.2","This script implements a complete table extraction pipeline for PubTables data. It processes OCR word JSON to reconstruct table structure, normalize metric rows, audit extraction quality, and generate a grounded summary. The script follows the skill guidance from table_extraction, data_cleaning, validation_audit, and summary_reporting pools to ensure comprehensive processing without external dependencies.",48.77
2026-06-27T01:12:33,pubtables,multi_pool_sample_s01,glm-4.5-air,multi_pool_sample,1,"{""table_extraction"": ""bbox-row-column-parser"", ""data_cleaning"": ""chat2duckdb"", ""validation_audit"": ""metric-consistency-auditor"", ""summary_reporting"": ""typora-visual-architect""}","{""table_extraction"": [""bbox-row-column-parser""], ""data_cleaning"": [""chat2duckdb""], ""validation_audit"": [""metric-consistency-auditor""], ""summary_reporting"": [""typora-visual-architect""]}",bbox-row-column-parser|chat2duckdb|metric-consistency-auditor|typora-visual-architect,False,warn,,ok,exit_0,False,"metrics.csv row count mismatch: expected 5, got 0. | table_cells.csv missing required cell text: Evaluation score (%), PubMed QA | audit.json row_count mismatch: expected 5, got 0. | audit.json best_by_dataset mismatch for PubMed QA. | audit.json best_by_dataset mismatch for ChemTable. | summary.md missing grounded result(s): GraphNet, TableFormer, PubMed QA, ChemTable, 88.6, 84.2","The script implements the full pipeline for PubTables extraction: 1) bbox-row-column-parser reconstructs table structure from OCR words, 2) chat2duckdb normalizes metric rows, 3) metric-consistency-auditor validates the results, and 4) typora-visual-architect generates a summary. It handles coordinate normalization, row/column grouping, cell text assembly, metric extraction, and audit reporting without external dependencies.",36.14
2026-06-27T01:13:10,pubtables,multi_pool_sample_s02,glm-4.5-air,multi_pool_sample,2,"{""table_extraction"": ""table-ocr-structure-reconstructor"", ""data_cleaning"": ""multi-source-data-cleaner-pro"", ""validation_audit"": ""metric-consistency-auditor"", ""summary_reporting"": ""typora-visual-architect""}","{""table_extraction"": [""table-ocr-structure-reconstructor""], ""data_cleaning"": [""multi-source-data-cleaner-pro""], ""validation_audit"": [""metric-consistency-auditor""], ""summary_reporting"": [""typora-visual-architect""]}",table-ocr-structure-reconstructor|multi-source-data-cleaner-pro|metric-consistency-auditor|typora-visual-architect,False,warn,,ok,not_started,False,"invalid syntax (<unknown>, line 86)","Script implements table reconstruction from OCR words, filtering table region, grouping into rows/columns, extracting normalized metrics, auditing consistency, and generating summary. Uses only local file operations with environment variables for paths.",32.40
2026-06-27T01:13:42,pubtables,multi_pool_sample_s03,glm-4.5-air,multi_pool_sample,3,"{""table_extraction"": ""bbox-row-column-parser"", ""data_cleaning"": ""chat2duckdb"", ""validation_audit"": ""sql-master"", ""summary_reporting"": ""extraction-audit-summary""}","{""table_extraction"": [""bbox-row-column-parser""], ""data_cleaning"": [""chat2duckdb""], ""validation_audit"": [""sql-master""], ""summary_reporting"": [""extraction-audit-summary""]}",bbox-row-column-parser|chat2duckdb|sql-master|extraction-audit-summary,False,warn,,ok,exit_0,False,"metrics.csv row count mismatch: expected 5, got 0. | table_cells.csv missing required cell text: Evaluation score (%), PubMed QA, Rule Parser, weak baseline | audit.json row_count mismatch: expected 5, got 0. | audit.json best_by_dataset mismatch for PubMed QA. | audit.json best_by_dataset mismatch for ChemTable. | summary.md missing grounded result(s): GraphNet, TableFormer, PubMed QA, ChemTable, 88.6, 84.2","Script implements bbox-row-column-parser for table reconstruction, chat2duckdb for data cleaning, sql-master for validation audit, and extraction-audit-summary for reporting. Processes PubTables OCR JSON to reconstruct table structure, extract normalized metrics, audit extraction quality, and generate grounded summary.",44.99
2026-06-27T01:14:27,pubtables,multi_pool_sample_s04,glm-4.5-air,multi_pool_sample,4,"{""table_extraction"": ""bbox-row-column-parser"", ""data_cleaning"": ""data-analyst-cn"", ""validation_audit"": ""metric-consistency-auditor"", ""summary_reporting"": ""generate-report123""}","{""table_extraction"": [""bbox-row-column-parser""], ""data_cleaning"": [""data-analyst-cn""], ""validation_audit"": [""metric-consistency-auditor""], ""summary_reporting"": [""generate-report123""]}",bbox-row-column-parser|data-analyst-cn|metric-consistency-auditor|generate-report123,False,warn,,ok,exit_0,False,"metrics.csv row count mismatch: expected 5, got 0. | table_cells.csv missing required cell text: Evaluation score (%), PubMed QA, Rule Parser, weak baseline | audit.json row_count mismatch: expected 5, got 0. | audit.json best_by_dataset mismatch for PubMed QA. | audit.json best_by_dataset mismatch for ChemTable. | summary.md missing grounded result(s): GraphNet, TableFormer, PubMed QA, ChemTable, 88.6, 84.2","Script implements the full PubTables pipeline: 1) Extracts table cells from OCR words using bbox parsing and row/column inference, 2) Normalizes metrics into required schema, 3) Audits for consistency and issues, 4) Generates Markdown summary. Uses only local file operations and follows the provided skill guidance for each step.",64.52
2026-06-27T01:15:32,pubtables,multi_pool_sample_s05,glm-4.5-air,multi_pool_sample,5,"{""table_extraction"": ""file-converter"", ""data_cleaning"": ""data-analyst-cn"", ""validation_audit"": ""code-executor"", ""summary_reporting"": ""data2visualization""}","{""table_extraction"": [""file-converter""], ""data_cleaning"": [""data-analyst-cn""], ""validation_audit"": [""code-executor""], ""summary_reporting"": [""data2visualization""]}",file-converter|data-analyst-cn|code-executor|data2visualization,False,warn,,ok,not_started,False,"unterminated f-string literal (detected at line 212) (<unknown>, line 212)","Script reconstructs table structure from OCR words, normalizes metric rows, audits extraction quality, and generates a summary. Uses word positions to identify rows/columns and handles basic cell spanning. Excludes caption/footnote text outside table bounds.",48.75
2026-06-27T01:16:20,pubtables,multi_pool_sample_s06,glm-4.5-air,multi_pool_sample,6,"{""table_extraction"": ""file-converter"", ""data_cleaning"": ""multi-source-data-cleaner-pro"", ""validation_audit"": ""data-reconciliation-exceptions"", ""summary_reporting"": ""typora-visual-architect""}","{""table_extraction"": [""file-converter""], ""data_cleaning"": [""multi-source-data-cleaner-pro""], ""validation_audit"": [""data-reconciliation-exceptions""], ""summary_reporting"": [""typora-visual-architect""]}",file-converter|multi-source-data-cleaner-pro|data-reconciliation-exceptions|typora-visual-architect,False,warn,,ok,exit_1,False,"Traceback (most recent call last):
  File ""E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s06\agent_workspace\generated_solution.py"", line 7, in <module>
    with os.environ['ORIGINAL_WORDS_JSON'] as f:
         ~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^
TypeError: 'str' object does not support the context manager protocol (missed __exit__ method)
 | Missing or empty artifact: E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s06\artifacts\table_cells.csv | Missing or empty artifact: E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s06\artifacts\metrics.csv | Missing or empty artifact: E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s06\artifacts\audit.json | Missing or empty artifact: E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s06\artifacts\summary.md","Script reconstructs table structure from OCR words, extracts metrics, performs audit, and generates summary. Uses position-based row/column detection with span detection. Handles header identification and caption/footnote exclusion. Audit identifies best methods by F1 score per dataset and reports extraction issues.",32.67
2026-06-27T01:16:53,pubtables,multi_pool_sample_s07,glm-4.5-air,multi_pool_sample,7,"{""table_extraction"": ""table-boundary-noise-filter"", ""data_cleaning"": ""data-analysis"", ""validation_audit"": ""data-reconciliation-exceptions"", ""summary_reporting"": ""grounded-metric-summary""}","{""table_extraction"": [""table-boundary-noise-filter""], ""data_cleaning"": [""data-analysis""], ""validation_audit"": [""data-reconciliation-exceptions""], ""summary_reporting"": [""grounded-metric-summary""]}",table-boundary-noise-filter|data-analysis|data-reconciliation-exceptions|grounded-metric-summary,False,warn,,ok,exit_0,False,"metrics.csv row count mismatch: expected 5, got 0. | table_cells.csv missing required cell text: Evaluation score (%), PubMed QA | audit.json row_count mismatch: expected 5, got 0. | audit.json best_by_dataset mismatch for PubMed QA. | audit.json best_by_dataset mismatch for ChemTable. | summary.md missing grounded result(s): GraphNet, TableFormer, PubMed QA, ChemTable, 88.6, 84.2","The script implements the full pipeline: filtering table words using boundary noise filter, reconstructing table cells, normalizing metrics, auditing extraction quality, and generating a grounded summary. It processes the input JSON, reconstructs table structure based on word positions, filters out non-metric content, and produces all required output artifacts.",28.06
2026-06-27T01:17:21,pubtables,multi_pool_sample_s08,glm-4.5-air,multi_pool_sample,8,"{""table_extraction"": ""bbox-row-column-parser"", ""data_cleaning"": ""data-analyst-cn"", ""validation_audit"": ""data-reconciliation-exceptions"", ""summary_reporting"": ""extraction-audit-summary""}","{""table_extraction"": [""bbox-row-column-parser""], ""data_cleaning"": [""data-analyst-cn""], ""validation_audit"": [""data-reconciliation-exceptions""], ""summary_reporting"": [""extraction-audit-summary""]}",bbox-row-column-parser|data-analyst-cn|data-reconciliation-exceptions|extraction-audit-summary,False,warn,,ok,not_started,False,"invalid syntax (<unknown>, line 177)","Script implements bbox-row-column-parser to reconstruct table structure from OCR words, then extracts normalized metrics. Creates audit report with best F1 scores per dataset and writes summary markdown. Handles basic metric parsing and validation.",23.32
2026-06-27T01:17:44,pubtables,multi_pool_sample_s09,glm-4.5-air,multi_pool_sample,9,"{""table_extraction"": ""header-span-detector"", ""data_cleaning"": ""chat2duckdb"", ""validation_audit"": ""code-executor"", ""summary_reporting"": ""typora-visual-architect""}","{""table_extraction"": [""header-span-detector""], ""data_cleaning"": [""chat2duckdb""], ""validation_audit"": [""code-executor""], ""summary_reporting"": [""typora-visual-architect""]}",header-span-detector|chat2duckdb|code-executor|typora-visual-architect,False,warn,,ok,exit_0,False,"metrics.csv row count mismatch: expected 5, got 0. | table_cells.csv missing required cell text: Accuracy, ChemTable, Evaluation score (%), F1, GraphNet, Method, Notes, PubMed QA, Rule Parser, TableFormer, weak baseline | audit.json row_count mismatch: expected 5, got 0. | audit.json best_by_dataset mismatch for PubMed QA. | audit.json best_by_dataset mismatch for ChemTable. | summary.md missing grounded result(s): GraphNet, TableFormer, PubMed QA, ChemTable, 88.6, 84.2","Script implements table reconstruction from OCR words, extracts metrics from non-header cells, and generates audit summary. Uses header-span-detector logic for header detection and chat2duckdb-inspired data processing for metric extraction.",25.11
