timestamp,run_id,task,condition,model,condition_type,sample_seed,pool_samples,skill_pools,skills_given,skill_imports_enforced,import_policy,skill_import_violations,api_status,script_status,verifier_success,issues,notes,elapsed_seconds,run_dir,artifacts_dir,agent_workspace
2026-06-27T01:37:38,glm52_full_20260627_0130,pubtables,multi_pool_all,glm-5.2,multi_pool_all,,{},"{""table_extraction"": [""table-ocr-structure-reconstructor"", ""bbox-row-column-parser"", ""table-boundary-noise-filter"", ""header-span-detector"", ""file-converter""], ""data_cleaning"": [""multi-source-data-cleaner-pro"", ""data-analysis"", ""data-analyst-cn"", ""excel-xlsx"", ""chat2duckdb""], ""validation_audit"": [""metric-consistency-auditor"", ""artifact-contract-checker"", ""code-executor"", ""data-reconciliation-exceptions"", ""sql-master""], ""summary_reporting"": [""grounded-metric-summary"", ""extraction-audit-summary"", ""typora-visual-architect"", ""generate-report123"", ""data2visualization""]}",table-ocr-structure-reconstructor|bbox-row-column-parser|table-boundary-noise-filter|header-span-detector|file-converter|multi-source-data-cleaner-pro|data-analysis|data-analyst-cn|excel-xlsx|chat2duckdb|metric-consistency-auditor|artifact-contract-checker|code-executor|data-reconciliation-exceptions|sql-master|grounded-metric-summary|extraction-audit-summary|typora-visual-architect|generate-report123|data2visualization,False,warn,,ok,not_started,False,Model response did not contain parseable JSON or a Python code block.,,52.56,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_all\agent_runs\glm52_full_20260627_0130,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_all\agent_runs\glm52_full_20260627_0130\artifacts,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_all\agent_runs\glm52_full_20260627_0130\agent_workspace
2026-06-27T01:38:30,glm52_full_20260627_0130,pubtables,multi_pool_sample_s01,glm-5.2,multi_pool_sample,1,"{""table_extraction"": ""bbox-row-column-parser"", ""data_cleaning"": ""chat2duckdb"", ""validation_audit"": ""metric-consistency-auditor"", ""summary_reporting"": ""typora-visual-architect""}","{""table_extraction"": [""bbox-row-column-parser""], ""data_cleaning"": [""chat2duckdb""], ""validation_audit"": [""metric-consistency-auditor""], ""summary_reporting"": [""typora-visual-architect""]}",bbox-row-column-parser|chat2duckdb|metric-consistency-auditor|typora-visual-architect,False,warn,,ok,exit_0,False,"metrics.csv mismatch for accuracy: expected 84.7, got None. | metrics.csv mismatch for f1: expected 81.3, got None. | metrics.csv mismatch for notes: expected 'weak baseline', got 'weak'. | metrics.csv mismatch for accuracy: expected 71.0, got None. | metrics.csv mismatch for f1: expected 68.4, got None. | metrics.csv mismatch for accuracy: expected 87.8, got None. | metrics.csv mismatch for f1: expected 84.2, got None. | metrics.csv mismatch for dataset: expected 'PubMed QA', got 'PubMed'. | metrics.csv mismatch for accuracy: expected 91.2, got None. | metrics.csv mismatch for f1: expected 88.6, got None. | metrics.csv mismatch for dataset: expected 'PubMed QA', got 'PubMed'. | metrics.csv mismatch for accuracy: expected 89.5, got None. | metrics.csv mismatch for f1: expected 86.9, got None. | table_cells.csv missing required cell text: Evaluation score (%), PubMed QA, weak baseline | audit.json best_by_dataset mismatch for PubMed QA. | audit.json best_by_dataset mismatch for ChemTable. | summary.md missing grounded result(s): PubMed QA, 88.6, 84.2","Reads OCR word JSON, filters tokens inside table bbox, groups into rows by y-center clustering, infers columns from x-gaps, assembles cell text, normalizes metric rows by header labels, audits numeric parsing/duplicates/best-by-dataset, writes all four required artifacts.",52.87,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s01\agent_runs\glm52_full_20260627_0130,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s01\agent_runs\glm52_full_20260627_0130\artifacts,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s01\agent_runs\glm52_full_20260627_0130\agent_workspace
2026-06-27T01:39:23,glm52_full_20260627_0130,pubtables,multi_pool_sample_s02,glm-5.2,multi_pool_sample,2,"{""table_extraction"": ""table-ocr-structure-reconstructor"", ""data_cleaning"": ""multi-source-data-cleaner-pro"", ""validation_audit"": ""metric-consistency-auditor"", ""summary_reporting"": ""typora-visual-architect""}","{""table_extraction"": [""table-ocr-structure-reconstructor""], ""data_cleaning"": [""multi-source-data-cleaner-pro""], ""validation_audit"": [""metric-consistency-auditor""], ""summary_reporting"": [""typora-visual-architect""]}",table-ocr-structure-reconstructor|multi-source-data-cleaner-pro|metric-consistency-auditor|typora-visual-architect,False,warn,,ok,exit_0,False,"metrics.csv row count mismatch: expected 5, got 0. | table_cells.csv missing required cell text: Evaluation score (%), PubMed QA, Rule Parser, weak baseline | audit.json row_count mismatch: expected 5, got 0. | audit.json best_by_dataset mismatch for PubMed QA. | audit.json best_by_dataset mismatch for ChemTable. | summary.md missing grounded result(s): GraphNet, TableFormer, PubMed QA, ChemTable, 88.6, 84.2","Reconstructs table from OCR word JSON by filtering words inside table bbox, grouping by y-center into rows, assigning columns by x-center gaps, merging words per cell. Normalizes body rows into method/dataset/accuracy/f1/notes. Audits for missing columns, non-numeric values, duplicates, and best-by-dataset F1. Writes all four required artifacts.",41.23,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s02\agent_runs\glm52_full_20260627_0130,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s02\agent_runs\glm52_full_20260627_0130\artifacts,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s02\agent_runs\glm52_full_20260627_0130\agent_workspace
2026-06-27T01:40:05,glm52_full_20260627_0130,pubtables,multi_pool_sample_s03,glm-5.2,multi_pool_sample,3,"{""table_extraction"": ""bbox-row-column-parser"", ""data_cleaning"": ""chat2duckdb"", ""validation_audit"": ""sql-master"", ""summary_reporting"": ""extraction-audit-summary""}","{""table_extraction"": [""bbox-row-column-parser""], ""data_cleaning"": [""chat2duckdb""], ""validation_audit"": [""sql-master""], ""summary_reporting"": [""extraction-audit-summary""]}",bbox-row-column-parser|chat2duckdb|sql-master|extraction-audit-summary,False,warn,,ok,exit_0,False,"metrics.csv mismatch for accuracy: expected 84.7, got None. | metrics.csv mismatch for f1: expected 81.3, got None. | metrics.csv mismatch for method: expected 'Rule Parser', got 'Rule'. | metrics.csv mismatch for notes: expected 'weak baseline', got 'weak'. | metrics.csv mismatch for accuracy: expected 71.0, got None. | metrics.csv mismatch for f1: expected 68.4, got None. | metrics.csv mismatch for accuracy: expected 87.8, got None. | metrics.csv mismatch for f1: expected 84.2, got None. | metrics.csv mismatch for dataset: expected 'PubMed QA', got 'PubMed'. | metrics.csv mismatch for accuracy: expected 91.2, got None. | metrics.csv mismatch for f1: expected 88.6, got None. | metrics.csv mismatch for dataset: expected 'PubMed QA', got 'PubMed'. | metrics.csv mismatch for accuracy: expected 89.5, got None. | metrics.csv mismatch for f1: expected 86.9, got None. | table_cells.csv missing required cell text: Evaluation score (%), PubMed QA, Rule Parser, weak baseline | audit.json best_by_dataset mismatch for PubMed QA. | audit.json best_by_dataset mismatch for ChemTable. | summary.md missing grounded result(s): TableFormer, PubMed QA, 88.6, 84.2","Reads OCR word JSON, filters words to table bbox, groups into rows by y-center proximity, infers columns from x-center clusters, assembles cell text, maps header columns to normalized metric fields (method/dataset/accuracy/f1/notes), writes cells CSV, metrics CSV, audit JSON with best-by-dataset and issues, and a grounded Markdown summary. No network, GUI, or shell calls.",53.15,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s03\agent_runs\glm52_full_20260627_0130,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s03\agent_runs\glm52_full_20260627_0130\artifacts,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s03\agent_runs\glm52_full_20260627_0130\agent_workspace
2026-06-27T01:40:58,glm52_full_20260627_0130,pubtables,multi_pool_sample_s04,glm-5.2,multi_pool_sample,4,"{""table_extraction"": ""bbox-row-column-parser"", ""data_cleaning"": ""data-analyst-cn"", ""validation_audit"": ""metric-consistency-auditor"", ""summary_reporting"": ""generate-report123""}","{""table_extraction"": [""bbox-row-column-parser""], ""data_cleaning"": [""data-analyst-cn""], ""validation_audit"": [""metric-consistency-auditor""], ""summary_reporting"": [""generate-report123""]}",bbox-row-column-parser|data-analyst-cn|metric-consistency-auditor|generate-report123,False,warn,,ok,exit_0,False,"metrics.csv row count mismatch: expected 5, got 6. | table_cells.csv missing required cell text: Evaluation score (%) | audit.json row_count mismatch: expected 5, got 6.","Reconstructs table from OCR word bboxes: filters words inside table bbox, clusters by y-center for rows and x-gaps for columns, assembles cells, normalizes metric rows, audits for numeric consistency/duplicates/best-by-dataset, writes all four artifacts.",40.59,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s04\agent_runs\glm52_full_20260627_0130,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s04\agent_runs\glm52_full_20260627_0130\artifacts,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s04\agent_runs\glm52_full_20260627_0130\agent_workspace
2026-06-27T01:41:38,glm52_full_20260627_0130,pubtables,multi_pool_sample_s05,glm-5.2,multi_pool_sample,5,"{""table_extraction"": ""file-converter"", ""data_cleaning"": ""data-analyst-cn"", ""validation_audit"": ""code-executor"", ""summary_reporting"": ""data2visualization""}","{""table_extraction"": [""file-converter""], ""data_cleaning"": [""data-analyst-cn""], ""validation_audit"": [""code-executor""], ""summary_reporting"": [""data2visualization""]}",file-converter|data-analyst-cn|code-executor|data2visualization,False,warn,,ok,exit_0,False,"metrics.csv mismatch for notes: expected 'cross-domain', got ''. | metrics.csv mismatch for accuracy: expected 84.7, got None. | metrics.csv mismatch for f1: expected 81.3, got None. | metrics.csv mismatch for method: expected 'Rule Parser', got 'Rule'. | metrics.csv mismatch for notes: expected 'weak baseline', got 'weak'. | metrics.csv mismatch for accuracy: expected 71.0, got None. | metrics.csv mismatch for f1: expected 68.4, got None. | metrics.csv mismatch for accuracy: expected 87.8, got None. | metrics.csv mismatch for f1: expected 84.2, got None. | metrics.csv mismatch for dataset: expected 'PubMed QA', got 'PubMed'. | metrics.csv mismatch for accuracy: expected 91.2, got None. | metrics.csv mismatch for f1: expected 88.6, got None. | metrics.csv mismatch for dataset: expected 'PubMed QA', got 'PubMed'. | metrics.csv mismatch for accuracy: expected 89.5, got None. | metrics.csv mismatch for f1: expected 86.9, got None. | table_cells.csv missing required cell text: Evaluation score (%), PubMed QA, Rule Parser, weak baseline | audit.json best_by_dataset mismatch for PubMed QA. | audit.json best_by_dataset mismatch for ChemTable. | summary.md missing grounded result(s): PubMed QA, 88.6, 84.2","Reads OCR word JSON, filters words inside table bbox, clusters into rows/columns by y/x proximity, merges words per cell, writes cells CSV, extracts normalized metric rows using header detection, computes best-by-dataset F1, writes audit JSON and Markdown summary. No network/GUI/shell calls.",41.57,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s05\agent_runs\glm52_full_20260627_0130,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s05\agent_runs\glm52_full_20260627_0130\artifacts,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s05\agent_runs\glm52_full_20260627_0130\agent_workspace
2026-06-27T01:42:20,glm52_full_20260627_0130,pubtables,multi_pool_sample_s06,glm-5.2,multi_pool_sample,6,"{""table_extraction"": ""file-converter"", ""data_cleaning"": ""multi-source-data-cleaner-pro"", ""validation_audit"": ""data-reconciliation-exceptions"", ""summary_reporting"": ""typora-visual-architect""}","{""table_extraction"": [""file-converter""], ""data_cleaning"": [""multi-source-data-cleaner-pro""], ""validation_audit"": [""data-reconciliation-exceptions""], ""summary_reporting"": [""typora-visual-architect""]}",file-converter|multi-source-data-cleaner-pro|data-reconciliation-exceptions|typora-visual-architect,False,warn,,ok,exit_0,False,"metrics.csv mismatch for accuracy: expected 84.7, got None. | metrics.csv mismatch for f1: expected 81.3, got None. | metrics.csv mismatch for method: expected 'Rule Parser', got 'Rule'. | metrics.csv mismatch for notes: expected 'weak baseline', got 'weak'. | metrics.csv mismatch for accuracy: expected 71.0, got None. | metrics.csv mismatch for f1: expected 68.4, got None. | metrics.csv mismatch for accuracy: expected 87.8, got None. | metrics.csv mismatch for f1: expected 84.2, got None. | metrics.csv mismatch for dataset: expected 'PubMed QA', got 'PubMed'. | metrics.csv mismatch for accuracy: expected 91.2, got None. | metrics.csv mismatch for f1: expected 88.6, got None. | metrics.csv mismatch for dataset: expected 'PubMed QA', got 'PubMed'. | metrics.csv mismatch for accuracy: expected 89.5, got None. | metrics.csv mismatch for f1: expected 86.9, got None. | table_cells.csv missing required cell text: Evaluation score (%), PubMed QA, Rule Parser, weak baseline | audit.json best_by_dataset mismatch for PubMed QA. | audit.json best_by_dataset mismatch for ChemTable. | summary.md missing grounded result(s): PubMed QA, 88.6, 84.2","Reads PubTables OCR word JSON, filters words inside table bbox, clusters into rows by vertical center proximity, detects column boundaries from x-edges, maps header columns to required fields, normalizes numeric values (auto-divides percentages), writes cells CSV, metrics CSV, audit JSON, and Markdown summary. Excludes caption/footnote words outside table bbox.",37.46,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s06\agent_runs\glm52_full_20260627_0130,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s06\agent_runs\glm52_full_20260627_0130\artifacts,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s06\agent_runs\glm52_full_20260627_0130\agent_workspace
2026-06-27T01:42:57,glm52_full_20260627_0130,pubtables,multi_pool_sample_s07,glm-5.2,multi_pool_sample,7,"{""table_extraction"": ""table-boundary-noise-filter"", ""data_cleaning"": ""data-analysis"", ""validation_audit"": ""data-reconciliation-exceptions"", ""summary_reporting"": ""grounded-metric-summary""}","{""table_extraction"": [""table-boundary-noise-filter""], ""data_cleaning"": [""data-analysis""], ""validation_audit"": [""data-reconciliation-exceptions""], ""summary_reporting"": [""grounded-metric-summary""]}",table-boundary-noise-filter|data-analysis|data-reconciliation-exceptions|grounded-metric-summary,False,warn,,ok,not_started,False,Model response did not contain parseable JSON or a Python code block.,,54.98,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s07\agent_runs\glm52_full_20260627_0130,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s07\agent_runs\glm52_full_20260627_0130\artifacts,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s07\agent_runs\glm52_full_20260627_0130\agent_workspace
2026-06-27T01:43:52,glm52_full_20260627_0130,pubtables,multi_pool_sample_s08,glm-5.2,multi_pool_sample,8,"{""table_extraction"": ""bbox-row-column-parser"", ""data_cleaning"": ""data-analyst-cn"", ""validation_audit"": ""data-reconciliation-exceptions"", ""summary_reporting"": ""extraction-audit-summary""}","{""table_extraction"": [""bbox-row-column-parser""], ""data_cleaning"": [""data-analyst-cn""], ""validation_audit"": [""data-reconciliation-exceptions""], ""summary_reporting"": [""extraction-audit-summary""]}",bbox-row-column-parser|data-analyst-cn|data-reconciliation-exceptions|extraction-audit-summary,False,warn,,ok,not_started,False,Model response did not contain parseable JSON or a Python code block.,,45.34,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s08\agent_runs\glm52_full_20260627_0130,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s08\agent_runs\glm52_full_20260627_0130\artifacts,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s08\agent_runs\glm52_full_20260627_0130\agent_workspace
2026-06-27T01:44:38,glm52_full_20260627_0130,pubtables,multi_pool_sample_s09,glm-5.2,multi_pool_sample,9,"{""table_extraction"": ""header-span-detector"", ""data_cleaning"": ""chat2duckdb"", ""validation_audit"": ""code-executor"", ""summary_reporting"": ""typora-visual-architect""}","{""table_extraction"": [""header-span-detector""], ""data_cleaning"": [""chat2duckdb""], ""validation_audit"": [""code-executor""], ""summary_reporting"": [""typora-visual-architect""]}",header-span-detector|chat2duckdb|code-executor|typora-visual-architect,False,warn,,ok,not_started,False,Model response did not contain parseable JSON or a Python code block.,,73.58,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s09\agent_runs\glm52_full_20260627_0130,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s09\agent_runs\glm52_full_20260627_0130\artifacts,E:\research\pilot_experiments\tasks\pubtables\runs\multi_pool_sample_s09\agent_runs\glm52_full_20260627_0130\agent_workspace
